date,hour,fuel type,percent marginal,co2 rate
2019-01-03,6,Gas,0.41600238445173104,860
2019-01-03,6,Pumped Storage,0.49986714355701295,0
2019-01-03,6,Pumped Storage Demand,0.08320047689034621,0
2019-01-03,6,Wind,0.0009299951009099623,0
2019-01-03,7,Gas,0.33283737329249724,904
2019-01-03,7,Pumped Storage,0.6666666666666666,0
2019-01-03,7,Wind,0.0004959600408361296,0
2019-01-03,8,Gas,0.6656969651085699,891
2019-01-03,8,Pumped Storage,0.33284848255428495,0
2019-01-03,8,Wind,0.0014545523371451176,0
2019-01-03,9,Gas,0.9153411867473329,863
2019-01-03,9,Pumped Storage,0.08321283515884845,0
2019-01-03,9,Wind,0.0014459780938186775,0
2019-01-03,10,Gas,0.7494780215156008,874
2019-01-03,10,Pumped Storage,0.24986950537890024,0
2019-01-03,10,Wind,0.0006524731054992297,0
2019-01-03,11,Gas,1.0,850
2019-01-03,12,Gas,1.0,848
2019-01-03,13,Gas,1.0,873
2019-01-03,14,Gas,1.0,895
2019-01-03,15,Gas,1.0,873
2019-01-03,16,Gas,0.7083333333333334,969
2019-01-03,16,Other,0.16666666666666669,2044
2019-01-03,16,Pumped Storage,0.12500000000000003,0
2019-01-03,17,Gas,0.9166666666666667,868
2019-01-03,17,Pumped Storage,0.08333333333333333,0
2019-01-03,18,Gas,0.9166666666666666,876
2019-01-03,18,Pumped Storage,0.08333333333333333,0
2019-01-03,19,Gas,0.8333333333333334,851
2019-01-03,19,Pumped Storage,0.16666666666666669,0
2019-01-03,20,Gas,0.75,851
2019-01-03,20,Pumped Storage,0.25,0
2019-01-03,21,Gas,1.0000000000000002,841
2019-01-03,22,Gas,1.0,860
2019-01-03,23,Gas,0.9166666666666667,857
2019-01-03,23,Pumped Storage Demand,0.08333333333333334,0
2019-01-04,0,Gas,0.7500000000000001,825
2019-01-04,0,Pumped Storage Demand,0.25,0
2019-01-04,1,Gas,1.0,845
2019-01-04,2,Gas,0.9999999999999998,844
