job_id,month,power_kw,ci_base,spread,position,headroom,saving_frac,flat_window
nrel_20190101T05,1,1.822,172.5158787628013,102.56376904558908,0.30404066107565514,31.183556143031723,0.18075759962888513,False
nrel_20190101T06,1,2.616,160.97899348461019,102.56376904558908,0.19155566383395844,19.646670864840615,0.12204493542642794,False
nrel_20190101T07,1,2.875,162.21248581157775,102.5078822881045,0.20369324510210093,20.88016319180818,0.12872106044945328,False
nrel_20190101T08,1,3.055,149.66725228390723,95.2107498541591,0.08754189707469849,8.334929664137661,0.05568973530914393,False
nrel_20190101T09,1,3.2369999999999997,144.10780360531308,77.29899485419622,0.035905783649304995,2.77548098554351,0.019259754961952535,False
nrel_20190101T10,1,3.408,141.33232261976957,62.415761285030754,0.0,0.0,0.0,False
nrel_20190101T11,1,3.589,145.75101359408538,35.90200297176898,0.12307644723305221,4.418690974315808,0.03031670837378739,False
nrel_20190101T12,1,3.702,155.14096399671632,35.90200297176898,0.3846203619281347,13.808641376946753,0.08900706184369864,False
nrel_20190101T13,1,3.619,163.81759425493718,35.90200297176898,0.6262957432444249,22.485271635167607,0.13725797730966213,False
nrel_20190101T14,1,6.667,176.27328696841866,42.8903440468971,0.8146580570779286,34.94096434864909,0.19822041643161256,False
nrel_20190101T15,1,5.303999999999999,177.23432559153855,53.57520089120223,0.6701235342948489,35.90200297176898,0.2025680005943668,False
nrel_20190101T16,1,5.662999999999999,175.89784188265915,62.614301908366684,0.5520387229338549,34.56551926288958,0.19650905828593462,False
nrel_20190101T17,1,5.247,171.6753756447634,78.92875222514633,0.3284527034803248,25.924362050678013,0.151008040339586,False
nrel_20190101T18,1,4.137,168.37256421612045,70.72753002213815,0.18707849991739506,13.231600219404129,0.07858525099386293,False
nrel_20190101T19,1,6.002,175.2346019293968,62.0508997639173,0.18399423244300214,11.417007674459626,0.06515270128590023,False
nrel_20190101T20,1,3.373,184.22266666666667,57.495929802734025,0.2756734694947488,15.850102450546217,0.08603774300599755,False
nrel_20190101T21,1,3.346,194.9075235109718,57.495929802734025,0.46151022143465825,26.534959294851348,0.13614127775502535,False
nrel_20190101T22,1,3.1639999999999997,203.94662452813625,57.495929802734025,0.6187231067324038,35.5740603120158,0.1744282867849477,False
nrel_20190101T23,1,3.214,224.6797658192317,57.495929802734025,0.9793250025923357,56.30720160311125,0.25061091459572626,False
nrel_20190102T00,1,3.168,225.86849401885448,59.518757022945664,1.0,59.518757022945664,0.26351066482949725,False
nrel_20190102T01,1,3.295,220.87344483809838,69.09910326769224,0.9277118089158826,64.10405408693615,0.2902297926032929,False
nrel_20190102T02,1,3.569,221.7565082910903,69.09910326769224,0.9404914748049017,64.98711753992808,0.2930561905070324,False
nrel_20190102T03,1,3.957,207.95082433200682,69.09910326769224,0.7406960605923639,51.18143358084458,0.24612277323378215,False
nrel_20190102T04,1,4.267,188.56762021941967,69.09910326769224,0.46018295411258847,31.798229468257432,0.16863038007934028,False
nrel_20190102T05,1,1.577,176.56959826275786,69.09910326769224,0.28654796625781037,19.80020751159563,0.11213825996324928,False
nrel_20190102T06,1,2.161,166.3497369959088,89.66931448299755,0.10684085520206732,9.580346244746579,0.057591592374938334,False
nrel_20190102T07,1,2.456,156.76939075116223,96.03369185299607,0.0,0.0,0.0,False
nrel_20190102T08,1,2.652,160.02696493349455,96.03369185299607,0.033921159537622106,3.25757418233232,0.020356407957159792,False
