building,n_jobs,cap_kw,sav_avg_own_ruler,sav_avg_sched_on_marginal,sav_marginal_optimized,mismatch_pp
486202 (headline),8363,1.269,7.279863996446196,2.4909604394891036,4.435180106432629,1.9442196669435252
286081,6838,2.109,5.637556571357215,1.8852976803638843,3.2229553086856746,1.3376576283217902
274807,5252,2.505,6.885543053607977,2.358662320551469,4.224650373645798,1.8659880530943291
