label,k,M_kW,greedy_pct,optimal_pct,gap_pp,do_nothing,status,t_greedy_s,t_milp_s,degenerate
0.5x med,0.5,0.2115,0.6157903419059771,0.7001008541001215,0.08431051219414432,6560,0,1.1172683238983154,24.045698881149292,True
1x med,1.0,0.423,1.8687291615469006,2.0960825003318337,0.22735333878493313,5008,0,0.9930269718170166,54.162253856658936,True
2x med,2.0,0.846,4.808374242667812,5.607376412633443,0.7990021699656316,3007,0,0.9251601696014404,27.922735929489136,False
3x med,3.0,1.269,7.279863996446196,8.292307491851927,1.0124434954057309,1944,0,1.0006318092346191,95.28737783432007,False
4x med,4.0,1.692,8.305504013846605,9.132158608925518,0.8266545950789137,1529,0,0.9520938396453857,494.2188060283661,False
6x med,6.0,2.538,9.897746053286362,10.437125202457555,0.539379149171193,1050,0,0.9612789154052734,198.26223611831665,False
peak,,6.667,11.9524180272967,12.414701100116039,0.4622830728193392,506,0,0.9584128856658936,19.345573902130127,False
