season,capped_greedy_ew,capped_greedy_uw_jobs,capped_greedy_uw_months,capped_milp_ew,capped_milp_uw_jobs,capped_milp_uw_months,uncapped_greedy_ew,uncapped_greedy_uw_jobs,uncapped_greedy_uw_months
winter (DJF),5.48344748730783,7.9772154754535824,6.73150126564547,6.245144082906454,8.631881782005319,7.620327152407806,14.999382676456445,12.070959600821462,14.701522851196364
spring (MAM),9.255447213016728,11.006932680329994,11.064186291709623,10.087683467922142,11.374080290000016,11.765384850655705,13.476402436652126,12.623426537284994,14.224211982376021
summer (JJA),6.648556702062416,8.11817436872697,7.73688248928899,8.066234303415195,9.209596194372049,9.013399320936834,9.906243149637469,10.834150784233847,10.661575380546642
fall (SON),10.763559028595516,12.000951563502221,10.749509302042284,11.619185859222481,12.457939373672055,11.41541280765523,13.236540910022173,13.327045084653847,12.910979572680473
