span,n_jobs,cap,M_kW,greedy_pct,optimal_pct,gap_pp,base_gco2,status,t_greedy_s,t_milp_s
full_year_2019,8363,uncapped,,12.698599364163524,,,1240119.4694477315,,0.7792479991912842,
batch_window,1642,uncapped,,9.566537652784135,,,382038.7497535357,,0.1510457992553711,
full_year_2019,8363,3x med,1.269,7.279863996446196,8.292307491851927,1.0124434954057309,1240119.4694477315,0,0.9379620552062988,91.89205980300903
batch_window,1642,3x med,1.269,6.053537953046161,7.494493628705374,1.4409556756592137,382038.7497535357,0,0.18659472465515137,2.521631956100464
