k,M_kW,n_jobs,greedy_pct,t_greedy_s,active_hours,peak_over_median,mean_concurrency
2.0,670.847999999999,732691,3.500211672082153,122.5,1642,2.1661777332570074,991.0560292326431
3.0,1006.2719999999986,732691,3.774405283663962,128.0,1642,2.1661777332570074,991.0560292326431
4.0,1341.695999999998,732691,3.921319300374642,131.2,1642,2.1661777332570074,991.0560292326431
6.0,2012.5439999999971,732691,3.969232290203287,111.5,1642,2.1661777332570074,991.0560292326431
,,732691,3.969232290203287,92.4,1642,2.1661777332570074,991.0560292326431
