name,approx_saving_pct,if_annual_position,if_annual_spread,timing_effect_pp,volatility_effect_pp
Jan,15.633803126861991,15.057217456303876,14.528433853346376,0.5765856705581154,1.105369273515615
Feb,13.765251860748737,12.982108229371544,15.512921031103044,0.7831436313771931,-1.7476691703543068
Mar,11.789862120259277,10.702276260964098,15.556347072133558,1.0875858592951797,-3.766484951874281
Apr,14.951803867684662,13.22990836639055,16.00400694900939,1.721895501294112,-1.0522030813247287
May,15.678249598033853,17.118745752943585,13.956783139055087,-1.4404961549097326,1.7214664589787656
Jun,14.176376873411952,15.359819245515101,12.101385340866749,-1.1834423721031495,2.0749915325452033
Jul,8.42469923533542,9.67776218899533,9.252803037725194,-1.2530629536599083,-0.8281038023897729
Aug,10.02334433928244,10.746445543040055,10.339015055076437,-0.723101203757615,-0.3156707157939973
Sep,14.752420055497431,15.69444407455526,12.133871028387711,-0.9420240190578291,2.6185490271097205
Oct,13.50745297799866,14.270981971299198,12.283273079565452,-0.7635289933005378,1.2241798984332082
Nov,11.581516183097628,11.61779088981696,13.117248473007026,-0.03627470671933253,-1.5357322899093973
Dec,14.574180050186996,12.842432196355546,13.787935255300976,1.7317478538314504,0.7862447948860201
