cap,n_jobs,n_dropped,hours_compared,proxy_oil_marginal_share,r_proxy_vs_iso,r_avg_vs_iso,iso_mean_gco2_kwh,iso_mean_proxy_oil_hours,iso_mean_proxy_gas_hours,avg_optimized_on_iso_ruler_pct,proxy_optimized_on_iso_ruler_pct,iso_optimized_on_iso_ruler_pct,avg_retained_of_iso_opt_pct
M=3x median,8353,10,8756,0.22203196347031964,0.07397317086668026,0.188890500051029,325.89069576633995,344.2226339722066,320.6556906554296,3.6240488202781624,0.6709569295692623,28.934638169782577,12.524949505201969
uncapped,8353,10,8756,0.22203196347031964,0.07397317086668026,0.188890500051029,325.89069576633995,344.2226339722066,320.6556906554296,7.053216806063013,1.1680172012905743,65.76798164695724,10.72439297882776
