threshold_mwh,oil_hours,sav_marginal,sav_marginal_of_avg_schedule,mismatch_pp
0.0,1945,4.435180106432629,2.4909604394891036,1.9442196669435252
1.0,1842,4.316555647350852,2.4161472636804118,1.9004083836704404
5.0,1520,3.5958923114835084,1.8129448054659767,1.7829475060175317
10.0,1176,2.835623854496591,1.2823950647927362,1.5532287897038546
50.0,518,1.0441395501294197,0.24513610354488535,0.7990034465845344
100.0,338,0.6865133922760464,0.1937124886970047,0.49280090357904166
