session_id,reason,hourly_adapter_kept,hourly_slack_h,real_slack_h,charge_h,dwell_h
2_39_138_29_2019-01-01 03:45:49.452098,valid,True,7.0,7.277222222222222,6.915555555555556,14.192777777777778
2_39_130_31_2019-01-01 05:28:33.527740,valid,True,0.0,0.0016666666666666668,0.5755555555555556,0.5772222222222222
2_39_138_566_2019-01-01 17:41:44.784919,done_after_disconnect,True,0.0,,,
2_39_79_379_2019-01-01 18:09:16.991864,valid,True,5.0,6.389444444444444,2.1147222222222224,8.504166666666666
2_39_138_566_2019-01-01 18:39:24.566872,done_after_disconnect,True,0.0,,,
2_39_138_566_2019-01-01 19:18:52.843645,valid,True,0.0,0.24972222222222223,0.6708333333333333,0.9205555555555556
2_39_79_378_2019-01-01 21:05:56.972890,valid,True,0.0,0.059722222222222225,4.891666666666667,4.951388888888889
2_39_139_28_2019-01-01 21:08:49.264929,valid,False,,0.59,1.1405555555555555,1.7305555555555556
2_39_79_377_2019-01-01 21:10:02.892601,valid,True,0.0,0.7555555555555555,4.141666666666667,4.897222222222222
2_39_125_21_2019-01-01 22:23:40.471724,valid,False,,0.4008333333333333,2.118888888888889,2.519722222222222
2_39_127_19_2019-01-02 13:53:10.182304,valid,True,3.0,2.8113888888888887,5.950277777777778,8.761666666666667
2_39_79_382_2019-01-02 15:53:25.247434,valid,True,5.0,5.553333333333334,3.2,8.753333333333334
2_39_78_361_2019-01-02 16:12:38.806280,valid,True,6.0,5.9275,2.964722222222222,8.892222222222221
2_39_91_441_2019-01-02 16:18:35.672653,valid,False,,0.0011111111111111111,7.587777777777778,7.588888888888889
2_39_79_379_2019-01-02 16:18:55.665332,valid,True,0.0,0.001388888888888889,9.977222222222222,9.97861111111111
2_39_78_366_2019-01-02 16:23:56.085986,valid,True,6.0,6.661944444444444,2.4716666666666667,9.133611111111112
2_39_123_23_2019-01-02 16:27:57.366037,valid,False,,0.0011111111111111111,6.354444444444445,6.355555555555555
2_39_79_378_2019-01-02 16:33:49.779632,valid,True,3.0,3.830277777777778,8.350833333333334,12.181111111111111
2_39_79_376_2019-01-02 16:34:33.982225,valid,False,,0.0022222222222222222,8.00611111111111,8.008333333333333
2_39_139_567_2019-01-02 16:36:32.018641,valid,True,0.0,0.0033333333333333335,8.83361111111111,8.836944444444445
2_39_131_30_2019-01-02 16:37:52.964126,valid,True,1.0,0.8577777777777778,7.585555555555556,8.443333333333333
2_39_139_28_2019-01-02 16:38:59.827073,valid,True,7.0,7.798055555555556,1.3027777777777778,9.100833333333334
2_39_91_437_2019-01-02 16:57:19.876402,done_after_disconnect,True,0.0,,,
2_39_130_564_2019-01-02 17:00:19.033308,valid,True,5.0,5.703333333333333,2.457222222222222,8.160555555555556
2_39_89_25_2019-01-02 17:07:42.946454,valid,True,7.0,8.462222222222222,1.2394444444444443,9.701666666666666
2_39_91_437_2019-01-02 17:44:09.322050,valid,True,6.0,6.627222222222223,1.3836111111111111,8.010833333333334
2_39_79_377_2019-01-02 17:50:37.389194,valid,True,0.0,0.0022222222222222222,2.28,2.2822222222222224
2_39_78_365_2019-01-02 18:05:15.648844,valid,False,,0.0033333333333333335,1.37,1.3733333333333333
2_39_79_381_2019-01-02 18:22:02.062348,valid,True,0.0,0.6361111111111111,5.432222222222222,6.068333333333333
2_39_95_444_2019-01-02 18:35:53.872924,valid,True,0.0,0.0019444444444444444,5.605277777777777,5.607222222222222
2_39_79_380_2019-01-02 18:52:56.330038,valid,True,0.0,0.0019444444444444444,6.157777777777778,6.159722222222222
2_39_95_27_2019-01-02 19:04:51.295367,valid,True,4.0,5.021388888888889,1.4425,6.463888888888889
2_39_79_383_2019-01-02 19:20:17.588317,valid,True,9.0,9.623333333333333,5.9302777777777775,15.553611111111111
2_39_78_367_2019-01-02 19:55:11.852732,valid,True,1.0,0.7205555555555555,6.595833333333333,7.316388888888889
2_39_88_438_2019-01-02 20:01:24.000119,valid,True,5.0,5.995555555555556,2.016111111111111,8.011666666666667
2_39_90_440_2019-01-02 20:22:05.703810,valid,True,3.0,3.401111111111111,3.651666666666667,7.052777777777778
2_39_78_365_2019-01-02 21:26:09.923720,valid,True,4.0,3.7733333333333334,1.9430555555555555,5.716388888888889
