session_id,priceable,power_kw,energy_kwh,real_slack_h,shift_h,baseline_gco2,optimal_gco2
2_39_138_29_2019-01-01 03:45:49.452098,True,6.23435089974293,43.114,7.277222222222222,2.3208333333333333,7112.775396040984,6518.618932652437
2_39_130_31_2019-01-01 05:28:33.527740,True,5.646718146718146,3.25,0.0016666666666666668,0.0016666666666669272,557.3107531071612,557.2021772080666
2_39_79_379_2019-01-01 18:09:16.991864,True,5.927019571785104,12.534,6.389444444444444,0.0,2176.365804884885,2176.365804884885
2_39_138_566_2019-01-01 19:18:52.843645,True,1.3103105590062112,0.879,0.24972222222222223,0.0,154.03121509594027,154.03121509594027
2_39_79_378_2019-01-01 21:05:56.972890,True,3.298671209540034,16.136,0.059722222222222225,0.0,3460.051606508751,3460.051606508751
2_39_139_28_2019-01-01 21:08:49.264929,True,2.5575255723331707,2.917,0.59,0.0,575.1915940321645,575.1915940321645
2_39_79_377_2019-01-01 21:10:02.892601,True,0.3090543259557344,1.28,0.7555555555555555,0.0,273.52609101311526,273.52609101311526
2_39_125_21_2019-01-01 22:23:40.471724,True,6.264132144729943,13.273,0.4008333333333333,0.0,2907.350381024081,2907.350381024081
2_39_127_19_2019-01-02 13:53:10.182304,True,6.1523178189626995,36.608,2.8113888888888887,0.0,9344.40347453755,9344.40347453755
2_39_79_382_2019-01-02 15:53:25.247434,True,2.7671875,8.855,5.553333333333334,0.0,2275.726567151435,2275.726567151435
2_39_78_361_2019-01-02 16:12:38.806280,True,3.5085917736344046,10.402,5.9275,0.0,2676.1603535406516,2676.1603535406516
2_39_91_441_2019-01-02 16:18:35.672653,True,6.0700248938351145,46.058,0.0011111111111111111,0.0,12192.782807801415,12192.782807801415
2_39_79_379_2019-01-02 16:18:55.665332,True,3.909605211871485,39.007,0.001388888888888889,0.0,10335.295206851171,10335.295206851171
2_39_78_366_2019-01-02 16:23:56.085986,True,5.534322319622387,13.679,6.661944444444444,0.12944444444444514,3518.3728421891515,3516.984218044776
2_39_123_23_2019-01-02 16:27:57.366037,True,6.241930407413883,39.664,0.0011111111111111111,0.0,10494.087107906353,10494.087107906353
2_39_79_378_2019-01-02 16:33:49.779632,True,1.916814689152779,16.007,3.830277777777778,0.0,4247.046419238075,4247.046419238075
2_39_79_376_2019-01-02 16:34:33.982225,True,3.555783776282007,28.468,0.0022222222222222222,0.0,7550.333346288712,7550.333346288712
2_39_139_567_2019-01-02 16:36:32.018641,True,3.4480802490487723,30.459,0.0033333333333333335,0.0,8078.151823561359,8078.151823561359
2_39_131_30_2019-01-02 16:37:52.964126,True,1.0811337337044091,8.201,0.8577777777777778,0.0,2174.4301380393017,2174.4301380393017
2_39_139_28_2019-01-02 16:38:59.827073,True,2.6090405117270787,3.399,7.798055555555556,1.0472222222222243,878.5139803635449,870.4985814859095
2_39_130_564_2019-01-02 17:00:19.033308,True,2.355098349536514,5.787,5.703333333333333,0.0,1490.6626508725292,1490.6626508725292
2_39_89_25_2019-01-02 17:07:42.946454,True,3.1441506051098163,3.897,8.462222222222222,0.6319444444444429,1004.7928334118517,997.4756369702632
2_39_91_437_2019-01-02 17:44:09.322050,True,2.8562939168841597,3.952,6.627222222222223,0.0,1013.0592690106512,1013.0592690106512
2_39_79_377_2019-01-02 17:50:37.389194,True,2.685526315789474,6.123,0.0022222222222222222,0.0,1580.0582289492265,1580.0582289492265
2_39_78_365_2019-01-02 18:05:15.648844,True,2.6394160583941604,3.616,0.0033333333333333335,0.0,928.4279012343701,928.4279012343701
2_39_79_381_2019-01-02 18:22:02.062348,True,1.1764982614031498,6.391,0.6361111111111111,0.0,1708.905748739932,1708.905748739932
2_39_95_444_2019-01-02 18:35:53.872924,True,6.214678626294663,34.835,0.0019444444444444444,0.0,9329.59172582361,9329.59172582361
2_39_79_380_2019-01-02 18:52:56.330038,True,4.162378202814868,25.631,0.0019444444444444444,0.0,6879.299734693857,6879.299734693857
2_39_95_27_2019-01-02 19:04:51.295367,True,2.775043327556326,4.003,5.021388888888889,0.0,1048.6328196950353,1048.6328196950353
2_39_79_383_2019-01-02 19:20:17.588317,True,0.33472293784252194,1.985,9.623333333333333,9.623333333333342,533.7581040365296,419.3849498758032
2_39_78_367_2019-01-02 19:55:11.852732,True,2.435173720783323,16.062,0.7205555555555555,0.0,4322.105668397346,4322.105668397346
2_39_88_438_2019-01-02 20:01:24.000119,True,2.545494626618903,5.132,5.995555555555556,3.9605555555555583,1393.8807548098512,1359.5928150425245
2_39_90_440_2019-01-02 20:22:05.703810,True,5.864719306252852,21.416,3.401111111111111,2.6316666666666677,5816.604936238871,5696.234229144453
2_39_78_365_2019-01-02 21:26:09.923720,True,2.4121801286633313,4.687,3.7733333333333334,2.620833333333337,1286.5649110744027,1241.2749306865067
2_39_78_364_2019-01-02 21:52:57.631245,True,2.6580793559516964,10.272,1.5116666666666667,1.1172222222222246,2758.1209276291,2735.0902813382586
2_39_92_442_2019-01-02 21:53:56.467640,True,3.2333164776421297,12.433,2.2419444444444445,1.1011111111111092,3337.990302712629,3310.1878895346804
2_39_138_29_2019-01-03 00:22:30.703412,True,1.6752717391304348,0.685,0.0038888888888888888,0.0,183.6435295531001,183.6435295531001
2_39_129_17_2019-01-03 00:23:47.453354,True,5.4604107530472525,9.084,0.0008333333333333334,0.0,2401.7863181996872,2401.7863181996872
2_39_130_31_2019-01-03 00:37:01.399881,True,3.279806158028485,15.416,8.919444444444444,5.68277777777778,4035.4617875460126,3183.3346685713527
2_39_139_28_2019-01-03 01:48:11.787225,True,3.1611609498680737,3.328,0.001388888888888889,0.0,896.6293990502289,896.6293990502289
2_39_131_30_2019-01-03 02:49:06.860687,True,5.406119951040392,11.042,0.0011111111111111111,0.0011111111111148375,2897.197399277954,2897.096952719487
2_39_79_379_2019-01-03 15:49:45.030170,True,0.685800855513308,6.413,0.9088888888888889,0.0,1811.6528877999554,1811.6528877999554
2_39_79_382_2019-01-03 15:59:29.262880,True,0.1685805032983142,1.15,1.41,1.1869444444444355,325.07107814784763,324.0691872037559
2_39_79_377_2019-01-03 16:03:16.450314,True,0.1498766447368421,1.215,4.725,0.0,342.54780450836967,342.54780450836967
2_39_123_23_2019-01-03 16:10:45.035789,True,2.93633669235329,4.128,7.583333333333333,1.82083333333334,1161.5290340544486,1144.728259649909
2_39_79_380_2019-01-03 16:20:00.197405,True,6.066236559139784,28.208,5.577222222222222,0.0,7895.184725528267,7895.184725528267
2_39_138_29_2019-01-03 16:20:04.905452,True,1.2324604316546763,10.707,0.0011111111111111111,0.0,3024.4836895152016,3024.4836895152016
2_39_78_366_2019-01-03 16:26:30.246459,True,5.626715969493875,13.526,5.853055555555556,1.1544444444444508,3782.0001100358336,3757.7902658089533
2_39_131_30_2019-01-03 16:38:57.642255,True,3.3309156844968273,9.185,6.136388888888889,0.5930555555555657,2562.2474716162296,2554.486677946664
2_39_95_27_2019-01-03 16:42:03.746450,True,6.105686190679778,19.835,5.416388888888889,0.05027777777776521,5527.17174811086,5525.695734800623
2_39_88_438_2019-01-03 16:42:27.147686,True,0.36209616829451535,1.071,1.6694444444444445,0.3347222222222257,298.55665386529836,298.00677935006485
